Symbol1	Symbol2	Edge_Sign
RpL4	snama	-
RpL4	Nop56	+
RpL4	RpS19b	+
RpL4	RpL35A	+
RpL4	CG8801	+
RpL4	nop5	+
RpL4	Dbp45A	+
RpL4	CG9143	+
RpL4	CG6712	+
RpL4	CG4364	-
RpL4	CG11107	-
RpL4	ns2	+
RpL4	CG3817	+
RpL4	pit	+
RpL4	CG6724	+
RpL4	ns1	+
RpL4	Hsc70-1	+
RpL4	vig	-
RpL4	ppan	+
Gsc	mol	+
bin	heph	+
bin	CycK	+
Gdh	Gpdh	-
Gdh	wupA	-
Gdh	Pdsw	+
Gdh	ATPsyn-d	+
Gdh	Acon	-
Gdh	Mlc2	+
Gdh	Scp1	-
Gdh	Nc73EF	+
Spc105R	Ddr	-
Efa6	Taf1	-
Efa6	danr	+
Mhcl	26-29-p	+
Pi3K21B	Rac1	+
RluA-2	Cen	+
Prosalpha5	Rpt3	+
Prosalpha5	Prosalpha7	+
Prosalpha5	Rpn1	+
Prosalpha5	GNBP2	-
Prosalpha5	Rpt1	+
Prosalpha5	Rpn11	+
Prosalpha5	Prosbeta7	+
Prosalpha5	Rpn9	+
Prosalpha5	Prosbeta2	+
Prosalpha5	Prosbeta3	+
Prosalpha5	Rpn2	+
Prosalpha5	Pros45	+
Prosalpha5	Tbp-1	+
Prosalpha5	Pomp	+
Prosalpha5	CG13349	-
Prosalpha5	Rpn7	+
Prosalpha5	Pros35	+
Prosalpha5	CG17331	+
Prosalpha5	Pros29	+
Prosalpha5	Pros25	+
Prosalpha5	Rpn6	+
Prosalpha5	Rpt4	+
Prosalpha5	Prosbeta5	+
CG11723	MED6	-
Ilp3	InR	+
Listericin	CG34227	+
dao	CG32485	+
Snap24	Gos28	-
CG12107	spn-F	+
CG12107	Sirt4	-
CG8636	eIF3-S9	+
CG8636	eIF3-S8	+
CG8636	Tango7	+
CG8636	CG9769	+
CG8636	eIF3-S10	+
eIF4E-4	SmG	-
fu	ci	+
fu	tankyrase	-
fu	CG30440	+
fu	Srp54	+
Cby	arm	-
CG13659	Rcd-1	+
nct	Psn	+
mxc	zetaCOP	-
eIF3-S8	eIF-3p66	+
eIF3-S8	CG9769	+
eIF3-S8	eIF3-S10	+
fz	dsh	+
fz	G-oalpha47A	+
robo	sli	+
CrebB-17A	pan	-
Rfabg	hh	+
Sfmbt	Ubc-E2H	+
CG12177	CG10641	+
CG10725	CG34227	+
Mcm3	Droj2	+
Mcm3	CDC45L	+
CG30158	CG10089	-
shf	hh	+
shf	Wnt6	-
shf	Wnt5	-
shf	wntD	-
shf	Wnt10	-
shf	wg	-
Hrd3	CG6766	+
CG4334	Fas3	-
aos	spi	-
aos	Egfr	-
dap	EcR	+
RpS20	GEFmeso	-
RpS20	metro	-
RpS20	HP1e	-
RpS20	adat	-
RpS20	CG7967	-
RpS20	imd	-
RpS20	Dref	+
wech	noi	+
pros	insc	-
pros	mira	+
pros	brat	+
CG5525	CG5854	-
CG5525	Tcp-1eta	+
l(3)01239	CG15676	+
CG9418	Cct1	+
CG9418	CG11980	-
CG9418	CG5044	-
mor	CG11505	+
mor	MED4	+
mor	MED16	+
mor	osa	+
mor	MED15	+
mor	CG43444	-
mor	boca	-
mor	MED6	+
mor	CG10077	-
mor	MED10	+
mor	Psi	-
mor	MED7	+
mor	pont	+
mor	MED17	+
mor	Taf4	+
BubR1	RpL37a	+
BubR1	polo	+
dmrt11E	PSR	-
mRpS18A	blw	+
asf1	His4r	+
asf1	Mcm2	+
asf1	His3.3A	+
asf1	tlk	+
asf1	Hsc70-1	+
asf1	Caf1-180	+
asf1	Caf1-105	+
dsx	CG34168	-
dsx	Usp7	-
dsx	CG32354	+
dsx	lawc	-
CG1542	CG6724	+
CG1542	CG42369	-
CG1542	ppan	+
Sema-2a	CG5155	-
CG17327	CG3880	-
Cp19	betaggt-II	-
noi	CG9426	+
noi	crn	+
noi	CG31029	-
noi	Pde1c	-
noi	Prp19	+
noi	CG10754	+
noi	HLH4C	-
Cpr35B	nimC1	+
dyn-p25	RpL17	-
boss	sev	+
nito	Upf1	-
nito	Traf-like	-
nito	CG11107	+
CG5569	CG5846	+
Ubi-p63E	Epac	-
Ubi-p63E	lds	+
Ubi-p63E	l(1)G0148	+
Upf1	Upf2	+
Ubc12	Nedd8	+
CG14968	CG16817	-
homer	CG31550	-
wee	BM-40-SPARC	+
wee	CG11107	-
CG6767	CG9238	+
GstE6	GstE5	+
GstE6	Nacalpha	-
Cpn	CG6337	+
Cpn	sun	+
Cpn	CG7357	+
ATPsyn-gamma	CG4692	+
ATPsyn-gamma	EfTuM	+
ATPsyn-gamma	Rpt1	+
ATPsyn-gamma	bocksbeutel	-
ATPsyn-gamma	CG2065	-
ATPsyn-gamma	l(1)G0230	+
ATPsyn-gamma	Rpt4	+
ATPsyn-gamma	CG4169	+
CG2021	CG4168	-
Cdk9	CycT	+
LanA	CG3168	+
LanA	mys	+
Smyd4	CG6218	+
CG13032	blw	+
CG13032	dysb	-
CG13032	Tk	-
RpL5	OS9	-
RpL5	CG2678	+
RpL5	Ef2b	+
RpL5	noi	+
RpL5	CG32016	+
Pka-C1	smo	+
Pka-C1	RpS11	+
Pka-C1	fu	+
Pka-C1	CkIalpha	+
Pka-C1	ci	-
Pka-C1	CG11266	-
Pka-C1	Cbp80	-
Pka-C1	slmb	+
Pka-C1	SmD2	-
Pka-C1	cos	+
Pka-C1	cos	+
Int6	CG10306	+
Int6	eIF3-S9	+
Int6	eIF3-S8	+
Int6	Tango7	+
Int6	CG9769	+
Int6	eIF-3p66	+
Int6	CG8636	+
Int6	eIF3-S10	+
Cdc6	Kap-alpha3	-
Cdc6	Hsc70-1	-
CanA-14F	NFAT	+
Vps26	Vps35	+
CG3731	msi	+
CG3731	Bap60	-
CG3731	Tab2	-
CG3731	Rbp4	-
CG8336	Trap1	+
CG8336	Atx2	-
CG15098	His4r	+
Yp3	CG31211	+
Yp3	Yp2	+
CG7275	Tcp-1eta	+
spi	CG32676	+
spi	D19B	+
spi	rho-4	-
spi	NetB	-
spi	Hnf4	-
spi	Egfr	+
CG10486	RpL11	+
prod	CG2652	+
prod	CG7967	+
U2af50	CG13472	+
U2af50	par-1	+
U2af50	Rs1	+
U2af50	nito	+
U2af50	SmG	+
U2af50	Zn72D	+
U2af50	Dbp45A	-
U2af50	CG11107	+
U2af50	pUf68	+
U2af50	Mi-2	-
U2af50	pit	+
U2af50	CG6701	+
U2af50	l(3)72Ab	+
U2af50	Atx2	+
U2af50	CG7878	+
U2af50	Srp54	+
wupA	ATPsyn-Cf6	+
wupA	up	-
wupA	icln	-
wupA	Tm2	+
wupA	Oscp	+
wupA	ATPsyn-b	+
wupA	Nc73EF	+
RpL19	CG7379	+
RpL19	Aats-tyr	-
RpL19	mub	-
RpL19	eIF6	+
CG2678	slam	+
esg	CtBP	+
esg	CG34168	+
esg	CG8079	+
esg	Traf-like	-
esg	wor	+
esg	CG8319	-
MED16	CG7185	+
MED16	MED10	+
MED16	MED17	+
MED16	ptip	+
CG7049	CG8646	+
CG7049	CG14291	+
CG7049	CG30059	+
CG7049	CG12014	+
CG7049	CG18278	+
CG7049	CG7402	+
CG4286	ari-2	+
CG4286	Elongin-C	+
Prm	CG7357	+
Prm	wupA	+
Prm	up	-
Prm	ATPsyn-Cf6	+
Prm	CG14315	+
Prm	Tm2	+
Prm	kdn	+
Prm	Scp1	-
Prm	Obp56d	-
Prm	CG9297	+
Chi	CG4836	+
Chi	CG4328	+
Chi	CG4570	+
Chi	Ssdp	+
SNF1A	Tor	-
arr	CG42788	+
Hrb27C	CtBP	+
Hrb27C	CG9008	+
Hrb27C	CG4617	+
Hrb27C	C15	+
Rbp	CG6972	-
hebe	RpII33	-
Gpdh	Prm	-
Gpdh	CG5506	-
Gpdh	CG32473	+
Gpdh	CG16885	-
Gpdh	Yp2	-
Gpdh	Rfabg	-
Gpdh	CG34205	-
Gpdh	Pdsw	-
Gpdh	GstS1	+
Gpdh	Strn-Mlck	+
Gpdh	Scp1	+
Gpdh	Nc73EF	-
CadN	arm	-
Patronin	CG5375	+
Patronin	RpS16	-
deltaCOP	CG6972	-
CG1271	eIF4AIII	+
RpS3	bocksbeutel	-
RpS3	Rbsn-5	+
RpS3	rump	+
RpS3	nimC1	+
RpS3	CG7787	-
RpS3	CG42575	+
RpS3	mts	+
RpS3	CG8368	+
CG14589	Gpdh	-
CG14589	foi	-
CG14589	gus	+
CG14589	RpL38	+
calypso	RpS27A	+
Su(dx)	mop	+
Su(dx)	l(3)psg2	+
Su(dx)	N	-
LysE	brp	+
SdhA	MED6	-
p38b	Cdk4	-
p38b	CG14207	+
Hrb98DE	glo	+
Hrb98DE	Hrb87F	+
mTTF	alphaTub84B	-
CG15208	MCPH1	+
CG18284	MED10	-
Taf11	Taf2	+
Taf11	Taf4	+
